summary_type,value,count
release_decision,blocked,31
release_decision,limited_release_or_human_review,44
task_category,case_analysis,25
task_category,consultation,25
task_category,document_drafting,25
workflow_condition,W0,15
workflow_condition,W1,15
workflow_condition,W2,15
workflow_condition,W3,15
workflow_condition,W4,15
model_alias,qianfan_deepseek_v4_pro,15
model_alias,qianfan_ernie_50,15
model_alias,qianfan_glm_52,15
model_alias,qianfan_kimi_k26,15
model_alias,qianfan_qwen35_27b,15
claim_level_or_source_boundary_blocked_groups,count,12
